日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/09/03,"51,634,727","1,565,402,788",29.60,30.80,29.50,30.15,+0.85,"19,783"
109/09/04,"36,628,896","1,106,874,503",29.65,30.85,29.40,30.75,+0.60,"15,410"
109/09/07,"168,364,570","5,488,406,020",31.10,33.30,31.05,32.65,+1.90,"56,674"
109/09/08,"78,673,076","2,568,389,082",33.40,33.50,32.00,32.00,-0.65,"28,033"
109/09/09,"45,327,045","1,455,366,751",31.65,32.70,31.35,32.60,+0.60,"17,381"
109/09/10,"34,265,895","1,106,650,111",32.90,32.90,32.00,32.15,-0.45,"14,172"
109/09/11,"39,173,871","1,261,676,125",32.15,32.85,31.70,31.80,-0.35,"14,640"
109/09/14,"39,008,020","1,261,836,386",32.30,32.75,31.85,32.20,+0.40,"14,625"
109/09/15,"25,130,556","810,616,242",32.40,32.45,31.95,32.35,+0.15,"9,151"
109/09/16,"52,003,990","1,697,968,840",32.80,33.05,32.25,32.40,+0.05,"18,685"
109/09/17,"17,426,533","562,362,182",32.15,32.50,32.05,32.45,+0.05,"6,869"
109/09/18,"15,323,640","496,149,758",32.60,32.65,32.15,32.45, 0.00,"5,487"
109/09/21,"21,651,413","692,092,618",32.55,32.55,31.60,31.75,-0.70,"8,471"
109/09/22,"18,734,249","585,797,042",31.55,31.60,30.90,31.20,-0.55,"7,580"
109/09/23,"17,834,755","552,954,249",31.45,31.55,30.70,30.90,-0.30,"7,047"
109/09/24,"26,339,315","791,793,858",30.15,30.45,29.90,29.90,-1.00,"11,322"
109/09/25,"33,470,420","979,561,138",30.00,30.20,28.70,29.05,-0.85,"12,305"
109/09/28,"89,651,740","2,810,583,054",30.75,31.95,30.40,31.95,+2.90,"32,264"
109/09/29,"65,182,799","2,075,363,715",31.95,32.35,31.30,32.00,+0.05,"22,930"
109/09/30,"25,612,971","818,670,034",32.00,32.20,31.50,31.95,-0.05,"10,882"
109/10/05,"36,835,766","1,165,388,711",32.20,32.45,31.30,31.35,-0.60,"13,497"
109/10/06,"15,953,721","502,037,912",31.70,31.75,31.35,31.35, 0.00,"5,897"
109/10/07,"32,903,356","1,047,871,742",31.45,32.10,31.30,31.90,+0.55,"12,185"
109/10/08,"36,669,972","1,170,038,012",32.20,32.20,31.65,31.80,-0.10,"13,257"
109/10/12,"29,106,613","928,694,937",32.10,32.30,31.50,31.55,-0.25,"10,029"
